moderate,immoderate
constant,inconstant
i,i
this,this
my,my
it,it
drier,wet
drier,sweet
drier,phlegmy
their,their
they,they
worst,best
worst,good
worst,unregretful
personal,impersonal
other,same
mine,mine
old,young
old,new
good,bad
good,evil
last,first
she,she
anyone,anyone
that,that
difficult,easy
difficult,manageable
her,her
them,them
poor,rich
cheap,expensive
repulsive,attractive
bad,good
bad,unregretful
inexpensive,expensive
me,me
something,something
better,worse
better,bad
better,evil
better,ill
anything,anything
your,your
wrong,correct
wrong,right
you,you
similar,dissimilar
similar,unalike
similar,unlike
yourself,yourself
much,little
small,large
small,big
medical,surgical
bright,dull
bright,dimmed
sure,uncertain
sure,unsure
what,what
s,s
easy,difficult
easy,uneasy
many,few
these,these
attractive,unattractive
attractive,repulsive
little,large
little,big
little,much
little,tall
close,distant
close,far
intentional,undesigned
someone,someone
thin,thick
thin,fat
thin,full
we,we
ours,ours
latest,early
important,unimportant
important,insignificant
important,noncrucial
expensive,cheap
new,old
new,worn
more,less
more,fewer
able,unable
less,more
dangerous,safe
worse,better
worse,good
worse,unregretful
reliable,unreliable
reliable,undependable
heavy,light
big,small
big,little
excited,unexcited
correct,incorrect
correct,wrong
dry,wet
dry,sweet
dry,phlegmy
its,its
possible,impossible
possible,actual
there,there
high,low
strong,weak
strong,impotent
quiet,unquiet
quiet,noisy
quiet,active
his,his
tight,loose
tight,leaky
which,which
impossible,possible
cheapest,expensive
first,last
first,second
nothing,nothing
real,unreal
real,nominal
real,insubstantial
hot,cold
second,first
contrasty,flat
top,bottom
most,fewest
most,least
original,unoriginal
useless,useful
surprised,unsurprised
thick,thin
safe,dangerous
safe,out
long,short
long,unretentive
large,small
large,little
itself,itself
myself,myself
who,who
white,black
digital,analogue
one,one
significant,insignificant
significant,nonsignificant
those,those
low,high
steady,unsteady
careful,careless
sharp,dull
sharp,flat
fancy,plain
few,many
happy,unhappy
identical,fraternal
female,androgynous
awful,nice
same,other
same,different
same,unlike
outside,inside
outside,indoor
oldest,young
oldest,new
him,him
unacceptable,acceptable
hard,easy
hard,soft
hard,voiced
different,same
different,like
main,dependent
nicer,nasty
sick,well
typical,atypical
loyal,disloyal
loyal,unpatriotic
involved,uninvolved
willing,unwilling
limited,unlimited
warm,cool
smaller,large
smaller,big
effective,ineffective
free,unfree
free,bound
foul,fair
standard,nonstandard
flat,contrasty
flat,natural
healthy,unhealthy
noxious,innocuous
critical,uncritical
critical,noncritical
negative,neutral
negative,affirmative
negative,positive
cheaper,expensive
remote,close
fast,slow
full,empty
full,thin
us,us
he,he
interesting,uninteresting
present,future
present,absent
our,our
nice,nasty
open,shut
open,closed
open,unreceptive
open,covert
independent,dependent
rough,smooth
rough,cut
mechanical,nonmechanical
kind,unkind
everything,everything
dull,lively
dull,bright
dull,sharp
revolutionary,counterrevolutionary
green,ripe
stupid,smart
stupid,intelligent
powerful,powerless
narrow,wide
narrow,broad-minded
single,common
single,double
single,multiple
single,married
short,long
short,tall
short,retentive
easier,difficult
easier,uneasy
sweet,sour
sweet,dry
sweet,salty
clear,unclear
clear,opaque
clear,ill-defined
clear,cloudy
exact,inexact
deep,shallow
concerned,unconcerned
local,national
local,general
middle,late
afraid,unafraid
busy,idle
fresh,stale
fresh,preserved
fresh,salty
hers,hers
soft,hard
soft,loud
soft,unvoiced
soft,hardened
soft,forte
regular,irregular
regular,constipated
everyone,everyone
broken,unbroken
closed,open
wide,narrow
compatible,incompatible
glad,sad
painful,painless
left,right
left,center
fine,coarse
sorry,unregretful
specific,general
specific,nonspecific
proper,improper
unresponsive,responsive
closer,distant
closer,far
solid,liquid
solid,hollow
actual,potential
newer,old
newer,worn
wireless,wired
analog,digital
unable,able
older,young
older,new
solvent,insolvent
raw,cooked
lighter,heavy
lighter,dark
inedible,edible
simple,complex
simple,compound
past,present
round,square
whole,fractional
whole,half
complex,simple
double,single
double,multivalent
decent,indecent
essential,inessential
essential,adjective
wrinkled,unwrinkled
wrinkled,ironed
himself,himself
younger,old
perfect,imperfect
opposite,alternate
loud,soft
loud,piano
lower,high
best,worst
best,bad
best,evil
weak,strong
convenient,inconvenient
convenient,incommodious
plain,fancy
plain,patterned
adequate,inadequate
natural,unnatural
natural,artificial
natural,supernatural
natural,sharp
highest,low
true,false
true,untruthful
available,unavailable
bloody,bloodless
toxic,nontoxic
industrial,nonindustrial
normal,abnormal
normal,paranormal
sensitive,insensitive
sensitive,insensible
stiff,impotent
complete,incomplete
sad,glad
friendly,unfriendly
friendly,hostile
useful,useless
uncomfortable,comfortable
flimsy,convincing
human,nonhuman
direct,indirect
direct,collateral
direct,retrograde
direct,inverse
direct,alternating
former,latter
nasty,nice
labeled,unlabeled
internal,external
right,left
right,incorrect
right,wrong
current,noncurrent
cold,hot
u,u
dark,light
fat,thin
fat,nonfat
positive,negative
online,off-line
realistic,unrealistic
genuine,counterfeit
straight,crooked
straight,curly
straight,coiled
straight,curved
vanicream,vanicream
painted,unpainted
material,immaterial
material,incorporeal
material,insubstantial
manual,automatic
calm,stormy
potential,actual
male,female
light,heavy
light,dark
slight,much
relaxed,tense
shallow,deep
late,early
basic,incidental
predictable,unpredictable
slow,fast
separate,joint
masculine,feminine
bigger,small
bigger,little
modern,nonmodern
serious,frivolous
serious,playful
future,past
yours,yours
lowest,high
side,top
themselves,themselves
wet,dry
used,misused
susceptible,unsusceptible
square,round
square,crooked
tasty,tasteless
strange,familiar
strange,native
dead,alive
dead,live
black,white
reasonable,unreasonable
certain,uncertain
certain,unsure
certain,unsealed
circular,square
gross,net
mild,intense
eager,uneager
glorious,inglorious
trusty,untrustworthy
stuck,unstuck
comfortable,uncomfortable
larger,small
larger,little
smooth,rough
smooth,staccato
tastier,tasteless
pleased,displeased
legitimate,illegitimate
interested,uninterested
sturdy,compromising
loaded,unloaded
resident,nonresident
resident,migratory
cool,warm
tall,short
no,no
generous,stingy
generous,ungenerous
colored,uncolored
acceptable,unacceptable
smallest,large
smallest,big
unreliable,reliable
unreliable,dependable
noisy,quiet
mobile,immobile
classic,nonclassical
honest,dishonest
portable,unportable
rich,poor
rich,lean
unfortunate,fortunate
unfortunate,auspicious
unhappy,happy
unhappy,euphoric
lost,found
lost,saved
lost,won
usual,unusual
faithful,unfaithful
maximum,minimal
maximum,minimum
delicate,rugged
repetitive,nonrepetitive
dependent,independent
num_extend,num_extend
clean,dirty
clean,unclean
individual,common
awkward,graceful
front,back
desirable,undesirable
patient,impatient
necessary,unnecessary
sufficient,insufficient
multiple,single
covert,overt
wired,wireless
efficient,inefficient
empty,full
helpful,unhelpful
major,minor
dirty,clean
immediate,mediate
outer,inner
outer,safe
appropriate,inappropriate
inconsistent,consistent
lightest,heavy
lightest,dark
false,true
tired,rested
smart,stupid
inaccurate,accurate
unplayable,playable
bottom,side
conscious,unconscious
secure,insecure
opposed,unopposed
edible,inedible
visible,invisible
biggest,small
biggest,little
functional,nonfunctional
functional,organic
frequent,infrequent
curly,straight
indoor,outdoor
happier,unhappy
